cliente_id,nome,sexo,idade,cidade,estado,tipo_cliente
1,Milena Gomes,F,42,Sales de Fogaça,RJ,Consumidor Final
2,Murilo Jesus,M,68,Cardoso,PI,Concessionária
3,Dra. Clara Mendes,M,50,da Luz da Prata,RS,Consumidor Final
4,Lavínia Duarte,F,21,Monteiro,DF,Oficina
5,Clarice Gomes,M,71,Nogueira,RS,Oficina
6,Nathan Teixeira,F,67,Lopes,RR,Oficina
7,Giovanna Cardoso,F,68,Dias de Moraes,TO,Concessionária
8,Sra. Lara Lima,F,32,Lopes,SP,Oficina
9,Dr. Benício Monteiro,F,45,da Conceição Paulista,MS,Oficina
10,Srta. Pietra Ribeiro,F,23,das Neves das Flores,MA,Consumidor Final
11,Alice Caldeira,F,69,Cardoso,PB,Oficina
12,Benjamin Barros,M,23,Viana,SP,Oficina
13,Igor Pires,F,63,Carvalho,SE,Consumidor Final
14,Dra. Helena Monteiro,M,65,Peixoto de Santos,PR,Oficina
15,Srta. Clarice da Conceição,F,24,Dias do Oeste,AC,Oficina
16,Gabriel Teixeira,F,46,Silva de Moura,PB,Oficina
17,Srta. Esther Cardoso,F,24,Rocha,RN,Oficina
18,Ana Júlia Caldeira,M,45,Azevedo,PI,Oficina
19,Sr. Eduardo Nascimento,F,24,Campos do Norte,RO,Oficina
20,Emanuella Rocha,F,53,das Neves,TO,Oficina
21,Maria Eduarda Jesus,F,73,Aragão Verde,RJ,Oficina
22,Yuri Gonçalves,F,44,Fogaça da Praia,CE,Oficina
23,Dr. Theo da Conceição,M,64,da Luz do Galho,AL,Concessionária
24,João Lucas Cardoso,M,54,da Costa,PA,Consumidor Final
25,Dr. Erick da Rocha,F,28,Moraes,PE,Oficina
26,Pedro Lucas Freitas,F,35,Pinto de Minas,SP,Oficina
27,Leonardo Rocha,M,28,da Luz,DF,Oficina
28,Ian Pires,F,37,Moreira do Amparo,RR,Oficina
29,Maria Luiza Caldeira,M,41,Novaes,ES,Oficina
30,Leonardo Rocha,M,64,Almeida da Mata,MG,Consumidor Final
31,Dra. Sophie Porto,M,47,Dias do Sul,PE,Oficina
32,Mirella Melo,F,18,Vieira de da Luz,TO,Concessionária
33,Cauã Ribeiro,F,71,Jesus Paulista,AL,Consumidor Final
34,Sr. Kaique Nogueira,F,46,da Rosa do Norte,DF,Oficina
35,Bárbara Duarte,M,37,Fogaça,PA,Oficina
36,Dra. Giovanna Duarte,M,48,Fernandes do Oeste,RJ,Oficina
37,Gabriel Rocha,F,38,Melo do Sul,PE,Oficina
38,Maria Castro,F,54,Araújo,SE,Consumidor Final
39,Lorena Aragão,F,42,Rodrigues de Cavalcanti,AP,Oficina
40,Otávio Ribeiro,F,41,Castro de Goiás,PI,Oficina
41,Júlia Oliveira,M,55,da Luz Alegre,PB,Concessionária
42,Kaique Carvalho,M,61,Ribeiro,RJ,Consumidor Final
43,Maria Eduarda Porto,M,64,Nunes,RS,Oficina
44,Clara da Conceição,M,46,da Cunha,CE,Consumidor Final
45,Carlos Eduardo da Paz,M,70,Araújo,AL,Consumidor Final
46,Julia Moreira,F,61,Moraes,MS,Oficina
47,Maria Vitória Silveira,F,33,da Mota da Praia,DF,Oficina
48,Francisco Cavalcanti,M,63,Rocha do Sul,PR,Oficina
49,Esther Nascimento,F,22,Barbosa,AP,Oficina
